Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
C,64,0,0,18,27
C,65,0,0,3,18
C,66,0,0,33,6
C,67,0,0,33,12
C,68,0,0,0,9
C,69,0,0,6,6
C,70,0,0,6,0
C,71,0,0,0,0
C,72,3,0,27,0
C,73,6,0,24,0
C,74,3,0,0,0
C,75,3,0,3,0
C,76,3,0,3,0
C,77,0,0,0,0
C,78,0,0,9,0
C,79,0,0,9,0
C,80,0,0,0,0
C,81,0,0,18,0
C,82,0,0,18,0
C,83,0,0,0,0
C,84,0,0,33,0
C,85,0,0,33,0
C,86,0,0,0,0
C,87,0,0,9,0
C,88,0,0,6,0
C,89,0,0,0,0
C,90,0,0,9,0
C,91,0,0,9,0
C,92,0,0,0,0
C,93,0,0,0,0
C,94,0,0,0,0
C,95,0,0,0,0
C,96,0,0,0,0
C,97,0,0,0,0
C,98,0,0,0,0
C,99,0,0,0,0
C,100,0,0,0,0
C,101,0,0,0,0
C,102,0,0,0,0
C,103,0,0,0,0
C,104,0,0,0,0
C,105,0,0,0,0
C,106,0,0,0,0
D,-106,0,0,0,0
D,-105,0,0,0,0
D,-104,0,0,0,0
D,-103,0,0,0,0
D,-102,0,0,0,0
D,-101,0,0,0,0
D,-100,0,0,3,0
D,-99,0,0,3,0
D,-98,0,0,0,0
D,-97,0,0,18,0
D,-96,0,0,18,0
D,-95,0,0,0,0
D,-94,0,0,12,0
D,-93,0,0,12,0
D,-92,0,0,0,0
D,-91,0,0,24,0
D,-90,0,0,24,0
D,-89,0,0,0,0
D,-88,0,0,33,0
D,-87,0,0,36,0
D,-86,0,0,0,0
D,-85,0,0,15,0
D,-84,0,0,15,0
D,-83,0,0,3,0
D,-82,0,0,18,0
D,-81,0,0,21,0
D,-80,0,0,0,0
D,-79,0,0,3,0
D,-78,0,0,6,0
D,-77,0,0,3,3
D,-76,0,0,12,12
D,-75,0,0,15,18
D,-74,0,0,3,12
D,-73,0,0,6,9
D,-72,0,0,6,9
D,-71,0,0,0,18
D,-70,0,0,0,15
D,-69,0,0,0,3
D,-68,0,0,0,12
D,-67,0,0,3,9
D,-66,0,0,0,21
D,-65,0,0,12,27
D,-64,0,0,6,15
D,-63,0,0,0,12
D,-62,0,0,18,15
D,-61,0,0,9,15
D,-60,0,0,3,6
D,-59,0,0,36,18
D,-58,0,0,42,21
D,-57,0,0,18,30
D,-56,0,0,240,15
D,-55,0,0,51,6
D,-54,0,0,15,0
D,-53,0,0,147,9
D,-52,0,0,132,6
D,-51,0,0,9,9
D,-50,0,0,183,12
D,-49,0,0,180,33
D,-48,0,0,3,27
D,-47,0,0,411,42
D,-46,0,0,204,36
D,-45,0,0,3,66
D,-44,0,0,345,54
D,-43,0,0,237,57
D,-42,0,0,6,54
D,-41,0,0,714,57
D,-40,0,0,984,159
D,-39,0,0,3,87
D,-38,0,0,591,84
D,-37,0,0,663,108
D,-36,0,0,3,183
D,-35,0,0,210,360
D,-34,0,0,1002,420
D,-33,0,0,3,405
D,-32,0,0,237,591
D,-31,0,0,345,636
D,-30,0,0,6,615
D,-29,0,0,777,639
D,-28,0,0,618,672
D,-27,0,0,0,813
D,-26,0,0,918,981
D,-25,0,0,747,759
D,-24,0,0,0,789
D,-23,0,0,1323,750
D,-22,0,0,651,951
D,-21,0,0,3,822
D,-20,0,0,999,846
D,-19,0,0,1089,924
D,-18,0,0,0,966
D,-17,0,0,1446,1185
D,-16,0,0,1188,1221
D,-15,0,0,0,1146
D,-14,0,0,1950,969
D,-13,0,0,3390,915
D,-12,0,0,0,1437
D,-11,0,0,3888,1956
D,-10,0,0,2469,1947
D,-9,0,0,3,1998
D,-8,0,0,2898,1899
D,-7,0,0,4431,2052
D,-6,0,0,6,2286
D,-5,0,0,2409,2997
D,-4,0,0,4974,3120
D,-3,0,0,3,3354
D,-2,0,0,3246,4641
D,-1,0,0,12228,8571
D,0,24,24,0,6000
D,1,3,3,12225,8568
D,2,3,6,3243,4635
D,3,3,0,0,3354
D,4,3,12,4971,3108
D,5,9,9,2400,2988
D,6,6,6,0,2280
D,7,3,0,4428,2052
D,8,3,0,2895,1899
D,9,3,3,0,1995
D,10,0,0,2469,1947
D,11,0,0,3888,1956
D,12,0,0,0,1437
D,13,3,0,3387,915
D,14,0,3,1950,966
D,15,0,0,0,1146
D,16,0,0,1188,1221
D,17,3,0,1443,1185
D,18,0,3,0,963
D,19,0,0,1089,924
D,20,0,0,999,846
D,21,3,0,0,822
D,22,0,3,651,948
D,23,0,0,1323,750
D,24,0,0,0,789
D,25,3,3,744,756
D,26,0,0,918,981
D,27,0,6,0,807
D,28,0,3,618,669
D,29,3,3,774,636
D,30,6,3,0,612
D,31,3,3,342,633
D,32,3,6,234,585
D,33,3,3,0,402
D,34,3,3,999,417
D,35,6,3,204,357
D,36,3,3,0,180
D,37,3,3,660,105
D,38,3,9,588,75
D,39,3,6,0,81
D,40,3,9,981,150
D,41,9,3,705,54
D,42,6,3,0,51
D,43,6,0,231,57
D,44,6,3,339,51
D,45,3,6,0,60
D,46,0,6,204,30
D,47,0,6,411,36
D,48,3,3,0,24
D,49,3,6,177,27
D,50,0,3,183,9
